PDFファイル,ページ番号,画像ファイル,図番号,x0_diff,y0_diff,x1_diff,y1_diff
whitepaper2023_all.pdf,118,whitepaper2023_all_page118_img3.png,【第222-1-1】,31.12070,34.32294,24.93032,25.10055
whitepaper2023_all.pdf,118,whitepaper2023_all_page118_img4.png,【第222-1-2】,5.02003,27.58414,237.06602,136.98846
whitepaper2023_all.pdf,121,whitepaper2023_all_page121_img0.png,【第222-1-10】,4.14565,224.50574,240.82243,368.15800
whitepaper2023_all.pdf,122,whitepaper2023_all_page122_img0.png,【第222-1-13】,5.02003,27.86752,236.06602,137.27185
whitepaper2023_all.pdf,122,whitepaper2023_all_page122_img1.png,【第222-1-15】,3.17984,27.47815,234.35236,166.35342
whitepaper2023_all.pdf,124,whitepaper2023_all_page124_img0.png,【第222-1-22】,5.51155,17.09335,474.29856,288.51385
whitepaper2023_all.pdf,127,whitepaper2023_all_page127_img0.png,【第222-1-30】,0.49949,15.83557,250.44676,105.28543
whitepaper2023_all.pdf,127,whitepaper2023_all_page127_img1.png,【第222-1-30】,0.49949,118.31744,250.44676,156.50482
whitepaper2023_all.pdf,130,whitepaper2023_all_page130_img0.png,【第222-1-38】,4.37473,16.56882,236.74400,95.42987
whitepaper2023_all.pdf,130,whitepaper2023_all_page130_img1.png,【第222-1-38】,4.37473,108.46185,236.74400,141.35645
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img0.png,【第223-1-2】,-261.97589,239.57391,-27.97589,264.54190
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img1.png,【第222-2-16】,28.61453,110.55127,19.69974,99.60447
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img2.png,【第222-2-16】,30.69973,110.55127,21.78493,99.60447
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img3.png,【第222-2-16】,28.61453,112.63647,19.69974,101.68967
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img4.png,【第222-2-16】,30.69973,112.63647,21.78493,101.68967
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img5.png,【第222-2-16】,43.28284,111.91742,34.36805,100.97062
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img6.png,【第222-2-16】,45.36805,111.91742,36.45325,100.97062
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img7.png,【第222-2-16】,43.28284,114.00262,34.36805,103.05582
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img8.png,【第222-2-16】,45.36805,114.00262,36.45325,103.05582
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img9.png,【第222-2-16】,58.02307,113.64313,49.10828,102.69633
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img10.png,【第222-2-16】,60.10828,113.64313,51.19348,102.69633
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img11.png,【第222-2-16】,58.02307,115.72833,49.10828,104.78153
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img12.png,【第222-2-16】,60.10828,115.72833,51.19348,104.78153
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img13.png,【第222-2-16】,72.69139,113.42743,63.77660,102.48063
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img14.png,【第222-2-16】,74.77659,113.42743,65.86179,102.48063
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img15.png,【第222-2-16】,72.69139,115.51257,63.77660,104.56577
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img16.png,【第222-2-16】,74.77659,115.51257,65.86179,104.56577
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img17.png,【第222-2-16】,87.35971,115.44067,78.44491,104.49387
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img18.png,【第222-2-16】,89.44492,115.44067,80.53013,104.49387
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img19.png,【第222-2-16】,87.35971,117.52594,78.44491,106.57914
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img20.png,【第222-2-16】,89.44492,117.52594,80.53013,106.57914
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img21.png,【第222-2-16】,102.02802,117.81354,93.11323,106.86674
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img22.png,【第222-2-16】,104.11323,117.81354,95.19843,106.86674
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img23.png,【第222-2-16】,102.02802,119.89874,93.11323,108.95194
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img24.png,【第222-2-16】,104.11323,119.89874,95.19843,108.95194
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img25.png,【第223-1-2】,-148.98083,-63.03601,-156.89563,-73.98282
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img26.png,【第223-1-2】,-146.89563,-63.03601,-154.81042,-73.98282
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img27.png,【第223-1-2】,-148.98083,-60.95081,-156.89563,-71.89761
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img28.png,【第223-1-2】,-146.89563,-60.95081,-154.81042,-71.89761
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img29.png,【第223-1-2】,-134.31252,-62.17322,-142.22731,-73.12003
whitepaper2023_all.pdf,144,whitepaper2023_all_page144_img30.png,【第223-1-2】,-132.22733,-62.17322,-140.14212,-73.12003
